Unit	Tags	Applications
5A,	10,	77,
5B,	73,	788,
6A,	84,	1828,
6B,	17,	1018,
6C,	89,	561,
12,	30,	440,
14,	10,	176,
16,	21,	824,
18,	9,	334,
21A,	13,	300,
21B,	9,	107,
30,	17,	678,
38,	9,	117,
42,	9,	162,
43,	29,	236,
49,	65,	928,
50,	110,	255,
51,	185,	2224,
56,	9,	162,
57,	9,	120,
58,	5,	116,
