Unit	Tags	Applications
2,	63,	1840,
5A,	20,	93,
5B,	73,	286,
6A,	87,	935,
6B,	13,	1803,
6C,	89,	1073,
7,	29,	246,
10,	59,	895,
12,	121,	631,
16A,	168,	5123,
6B,	114,	789,
22,	135,	561,
16C,	119,	1726,
16D,	89,	3222,
16E,	59,	486,
21A,	77,	455,
21B,	35,	151,
23,	63,	372,
24,	14,	168,
30,	9,	855,
34,	126,	6170,
36,	118,	3037,
37,	26,	680,
38,	9,	301,
45,	240,	1367,
48,	108,	496,
49,	64,	460,
50,	114,	166,
51A,	185,	1157,
51B,	185,	773,
52,	390,	3112,
