Unit	Tags	Applications
2,	101,	427,
5A,	5,	28,
5B,	67,	260,
6A,	126,	999,
6B,	21,	489,
6C,	126,	596,
7,	14,	50,
10,	105,	331,
12,	31,	110,
13,	160,	565,
15,	294,	1575,
16A,	210,	1076,
16B,	190,	587,
16C,	121,	443,
16D,	76,	650,
16E,	76,	222,
17,	105,	459,
18,	21,	54,
21A,	42,	185,
21B,	17,	30,
23,	105,	276,
24,	13,	34,
30,	9,	85,
34,	168,	1743,
36,	112,	788,
37,	34,	197,
45,	63,	308,
48,	84,	194,
49,	51,	314,
50,	44,	65,
51,	152,	701,
52,	194,	717,
56,	5,	29,
57,	3,	23,
